Image Name,Steering Angle
train_images\M-2024-06-21_23-17-0.png,0.0
train_images\M-2024-06-21_23-17-1.png,0.0
train_images\M-2024-06-21_23-17-2.png,0.0
train_images\M-2024-06-21_23-17-3.png,0.0
train_images\M-2024-06-21_23-17-4.png,0.0
train_images\M-2024-06-21_23-17-5.png,0.0
train_images\M-2024-06-21_23-17-6.png,0.0
train_images\M-2024-06-21_23-17-7.png,0.0
train_images\M-2024-06-21_23-17-8.png,0.0
train_images\M-2024-06-21_23-17-9.png,0.0
train_images\M-2024-06-21_23-17-10.png,0.0
train_images\M-2024-06-21_23-17-11.png,0.0
train_images\M-2024-06-21_23-17-12.png,0.0
train_images\M-2024-06-21_23-17-13.png,0.0
train_images\M-2024-06-21_23-17-14.png,0.058807373046875
train_images\M-2024-06-21_23-17-15.png,0.074493408203125
train_images\M-2024-06-21_23-17-16.png,0.05096435546875
train_images\M-2024-06-21_23-17-17.png,0.066650390625
train_images\M-2024-06-21_23-17-18.png,0.074493408203125
train_images\M-2024-06-21_23-17-19.png,0.0
train_images\M-2024-06-21_23-17-20.png,0.0
train_images\M-2024-06-21_23-17-21.png,0.05096435546875
train_images\M-2024-06-21_23-17-22.png,0.0
train_images\M-2024-06-21_23-17-23.png,0.058807373046875
train_images\M-2024-06-21_23-17-24.png,0.058807373046875
train_images\M-2024-06-21_23-17-25.png,0.0
train_images\M-2024-06-21_23-17-26.png,0.0
train_images\M-2024-06-21_23-17-27.png,0.05096435546875
train_images\M-2024-06-21_23-17-28.png,0.0
train_images\M-2024-06-21_23-17-29.png,0.0
train_images\M-2024-06-21_23-17-30.png,0.0
train_images\M-2024-06-21_23-17-31.png,0.0
train_images\M-2024-06-21_23-17-32.png,0.0
train_images\M-2024-06-21_23-17-33.png,0.0
train_images\M-2024-06-21_23-17-34.png,0.0
train_images\M-2024-06-21_23-17-35.png,0.0
train_images\M-2024-06-21_23-17-36.png,0.0
train_images\M-2024-06-21_23-17-37.png,0.0
train_images\M-2024-06-21_23-17-38.png,0.0
train_images\M-2024-06-21_23-17-39.png,0.0
train_images\M-2024-06-21_23-17-40.png,0.0
train_images\M-2024-06-21_23-17-41.png,0.0
train_images\M-2024-06-21_23-17-42.png,0.0
train_images\M-2024-06-21_23-17-43.png,0.0
train_images\M-2024-06-21_23-17-44.png,0.0
train_images\M-2024-06-21_23-17-45.png,0.0
train_images\M-2024-06-21_23-17-46.png,0.0
train_images\M-2024-06-21_23-17-47.png,0.0
train_images\M-2024-06-21_23-17-48.png,0.0
train_images\M-2024-06-21_23-17-49.png,0.0
train_images\M-2024-06-21_23-17-50.png,0.0
train_images\M-2024-06-21_23-17-51.png,0.0
train_images\M-2024-06-21_23-17-52.png,0.0
train_images\M-2024-06-21_23-17-53.png,0.0
train_images\M-2024-06-21_23-17-54.png,0.0
train_images\M-2024-06-21_23-17-55.png,-0.050994873046875
train_images\M-2024-06-21_23-17-56.png,-0.058837890625
train_images\M-2024-06-21_23-17-57.png,-0.066680908203125
train_images\M-2024-06-21_23-17-58.png,-0.066680908203125
train_images\M-2024-06-21_23-17-59.png,-0.066680908203125
train_images\M-2024-06-21_23-17-60.png,-0.066680908203125
